_type;_tags_highway;_tags_direction;_lon;_lat;_id
node;traffic_signals;;-73.2350257;-39.8298785;9352699005
node;traffic_signals;;-73.23474;-39.8299045;9352699006
node;traffic_signals;;-73.2348898;-39.8296713;9352699007
node;traffic_signals;;-73.2347101;-39.8297237;9352699008
node;traffic_signals;;-73.21491;-39.8241127;9353754880
node;traffic_signals;;-73.2149909;-39.8240399;9353754883
node;traffic_signals;;-73.2159775;-39.8238117;9353754884
node;traffic_signals;;-73.2163011;-39.8239629;9353754898
node;traffic_signals;;-73.2369043;-39.8501614;9355622658
node;traffic_signals;;-73.2370306;-39.8498192;9355622659
node;traffic_signals;;-73.2367749;-39.8499678;9355622660
node;traffic_signals;;-73.2371098;-39.8500276;9355622661
node;traffic_signals;;-73.21803;-39.8459363;9355630125
node;traffic_signals;forward;-73.217622;-39.8459497;9355630126
node;traffic_signals;forward;-73.2175954;-39.8457973;9355630127
node;traffic_signals;backward;-73.2197045;-39.8364954;9355630190
node;traffic_signals;;-73.2199824;-39.836478;9355630191
node;traffic_signals;;-73.21975;-39.8362812;9355630192
node;traffic_signals;backward;-73.226174;-39.8160393;9632010770
node;traffic_signals;;-73.240283;-39.8150026;11025716493
node;traffic_signals;;-73.2403739;-39.8148737;11025716494
node;traffic_signals;;-73.2401741;-39.8149082;11025716495
node;traffic_signals;;-73.2426052;-39.8144864;11025716496
node;traffic_signals;;-73.2427183;-39.8145598;11025716497
node;traffic_signals;;-73.2441244;-39.8145085;11025716499
node;traffic_signals;;-73.2442323;-39.8143593;11025716500
node;traffic_signals;forward;-73.222206;-39.8131595;11877012350
node;traffic_signals;;-73.2425382;-39.8145846;12111239033
node;traffic_signals;;-73.2439748;-39.814394;12111239034
