_type;_tags_shelter;_tags_public_transport;_tags_network;_tags_name;_tags_highway;_tags_departures_board;_tags_bus;_tags_bench;_lon;_lat;_id
node;;platform;;;bus_stop;;yes;;-73.2366137;-39.8499743;5287744516
node;;platform;;;bus_stop;;yes;;-73.2054048;-39.8412299;5287832336
node;yes;platform;;;bus_stop;;yes;;-73.2055027;-39.8411758;5287832337
node;;platform;;;bus_stop;;yes;;-73.2042165;-39.8403128;5287832338
node;;platform;;;bus_stop;;yes;;-73.2041657;-39.8403954;5287832339
node;;platform;;;bus_stop;;yes;;-73.2021063;-39.8388709;5287832343
node;;platform;;;bus_stop;;yes;;-73.2349915;-39.8293855;5287949763
node;;platform;;;bus_stop;;yes;;-73.2045244;-39.83635;5288129404
node;;platform;;;bus_stop;;yes;;-73.2205779;-39.8489257;5288218900
node;;platform;;;bus_stop;;yes;;-73.2192045;-39.8478289;5288218904
node;;platform;;;bus_stop;;yes;;-73.2028953;-39.8377869;5288345421
node;;platform;;;bus_stop;;yes;;-73.2322687;-39.8537714;5288750936
node;;platform;;;bus_stop;;yes;;-73.2385808;-39.8333225;5288977945
node;;platform;;;bus_stop;;yes;;-73.2388059;-39.8330798;5288977946
node;;platform;;;bus_stop;;yes;;-73.2205709;-39.8292697;5293086152
node;no;platform;;P817 - Picarte / René Schneider;bus_stop;;yes;;-73.2205978;-39.8295624;5303343406
node;;platform;;P72 - Picarte / Condell;bus_stop;;yes;;-73.2323765;-39.8180391;5303344116
node;;platform;;Cesfam;bus_stop;;yes;;-73.2165249;-39.8325623;5303344117
node;yes;platform;;P443 - Francia / Picarte;bus_stop;;yes;;-73.2160298;-39.8338589;5303344249
node;;platform;;;bus_stop;;yes;;-73.2223331;-39.8373556;5303344250
node;yes;platform;;;bus_stop;;yes;;-73.254807;-39.8054891;5320470522
node;yes;platform;;Los Lingues / Los Pelues;bus_stop;;yes;;-73.2597123;-39.8142379;5321967121
node;;platform;;;bus_stop;;yes;;-73.2340429;-39.8372774;5514353205
node;;platform;;;bus_stop;;yes;;-73.2576169;-39.8147595;5583751884
node;;platform;;;bus_stop;;yes;;-73.2558933;-39.815318;5583791053
node;;platform;;;bus_stop;;yes;;-73.252613;-39.8113785;5584959333
node;;platform;;Juzgado de Familia;bus_stop;;yes;;-73.2397935;-39.8262261;5592425527
node;;platform;;;bus_stop;;yes;;-73.2385526;-39.8435845;5703337362
node;yes;platform;;El Guata Amarilla;bus_stop;;yes;no;-73.2130434;-39.7951891;5937478721
node;yes;platform;;;bus_stop;;yes;yes;-73.1914005;-39.8530647;6252650405
node;yes;platform;;;bus_stop;;yes;;-73.2404715;-39.804234;6253635760
node;yes;platform;;;bus_stop;;yes;;-73.2384354;-39.7865972;6253887770
node;yes;platform;;;bus_stop;;yes;;-73.2389711;-39.7763348;6253887772
node;yes;platform;;;bus_stop;;yes;;-73.238771;-39.776464;6253887774
node;yes;platform;;P52 - Arauco / Anfión Múñoz;bus_stop;;yes;no;-73.2375301;-39.8169099;6604038478
node;;platform;;P74 - Picarte / Pedro Montt;bus_stop;;yes;;-73.2307531;-39.8190921;6604038479
node;;platform;;;bus_stop;;yes;;-73.2318766;-39.8452728;7084144761
node;;platform;;Ruta T-350 / Los Silos de Torobayo;bus_stop;;yes;;-73.2702895;-39.8331023;7100127015
node;;platform;;;bus_stop;;yes;;-73.2165678;-39.808099;7237036411
node;;platform;;;bus_stop;;yes;;-73.247078;-39.8173669;7237054383
node;;platform;;;bus_stop;;yes;;-73.2464339;-39.8278438;7262548343
node;yes;platform;;;bus_stop;;yes;;-73.2214469;-39.827699;7262648443
node;yes;platform;;;bus_stop;;yes;no;-73.2146864;-39.8332898;7267392605
node;;platform;;;bus_stop;;yes;;-73.2338175;-39.8369395;7275540627
node;;platform;;;bus_stop;;yes;;-73.2333271;-39.8375946;7275540632
node;;platform;;;bus_stop;;yes;;-73.2182087;-39.8262688;7280929830
node;;platform;;;bus_stop;;yes;;-73.2179742;-39.826364;7281026210
node;;platform;;;bus_stop;;yes;;-73.2172;-39.8255956;7281070966
node;;platform;;;bus_stop;;yes;;-73.2163053;-39.8252674;7281118903
node;yes;platform;;;bus_stop;;yes;;-73.2158381;-39.824703;7282644013
node;;platform;;;bus_stop;;yes;;-73.22108;-39.8337584;7292215180
node;;platform;;;bus_stop;;yes;;-73.2225584;-39.8350633;7293507253
node;yes;platform;;Avenida Francia / Calle Dos;bus_stop;;yes;;-73.2237016;-39.8374323;7293732210
node;;platform;;;bus_stop;;yes;;-73.2286128;-39.8438365;7347567470
node;;platform;;;bus_stop;;yes;;-73.2286704;-39.8442103;7352854171
node;;platform;;;bus_stop;;yes;;-73.2293018;-39.8398617;7356941052
node;;platform;;;bus_stop;;yes;;-73.2295818;-39.8393841;7357340200
node;;platform;;;bus_stop;;yes;;-73.2202297;-39.8358123;7590580822
node;;platform;;;bus_stop;;yes;;-73.2201079;-39.8357497;7594298800
node;yes;platform;;Francia / San Luis;bus_stop;;yes;;-73.2223804;-39.837189;7597016469
node;;platform;;;bus_stop;;yes;;-73.2302066;-39.8194466;7624169044
node;;platform;;;bus_stop;;yes;;-73.2221507;-39.8365908;7631476146
