_type;_tags_wikipedia;_tags_wikidata;_tags_website;_tags_name;_tags_int_name;_tags_description;_tags_building;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
way;;;https://www.mlk.cl/;Martin Luther King College;;;;school;Irlanda;Región de Los Ríos;1869;Valdivia;CL;Valdivia;;;568762357
way;;;;CEIA Comunidad Collico;;;yes;school;;;;;;;;;576879681
way;;;;Colegio Teniente Hernán Merino Correa;;;;school;Valle Hondo;Región de Los Ríos;2915;Valdivia;CL;Valdivia;;;616744388
way;;;;;;;;school;Domeyko;Región de Los Ríos;;Valdivia;CL;Valdivia;;;676041043
way;;;;Escuela Particular Metodista;;;;school;Avenida Argentina;Región de Los Ríos;3595;Valdivia;CL;Valdivia;;;718265546
way;;;;Escuela El Bosque;;;;school;Avenida Circunvalación Sur;Región de Los Ríos;2365;Valdivia;CL;Valdivia;;;762851701
way;;;;Jardin Estrellita de Los Ríos;;;;school;Los Algarrobos;;;;;Valdivia;;;804107369
way;;;;ICAP Valdivia;;;;school;Circunvalación Nueva Región;;12;;;Valdivia;;;818152486
way;;;;Escuela Fernando Santivan;;;;school;Andrés Bello;Región de Los Ríos;264;Valdivia;CL;Valdivia;;;818490354
way;;;;Colegio Camilo Henríquez;;;house;school;;;;;CL;;;;886588430
way;;;https://chilcos.org/;Iniciativa Pedagógica Waldorf Chilcos;;;yes;school;;;;;;;;;924833315
way;;;;Instituto Tecnologico del Sur;;;yes;school;Avenida Argentina;Región de Los Ríos;2478;Valdivia;CL;Valdivia;;;927216108
way;;;;Escuela Fedor Dostoievski;;;yes;school;Avenida Argentina;Región de Los Ríos;2310;Valdivia;CL;Valdivia;;;927216113
way;;;;Escuela de Lenguaje Quelluén;;;;school;Arauco;Región de Los Ríos;;Valdivia;CL;Valdivia;;;932747734
way;;;;Master College;;;school;school;19 de Junio;Región de Los Ríos;407;Valdivia;CL;Valdivia;;;937471609
way;;;;Liceo Técnico Profesional de Adultos Coresol de Valdivia;;;;school;;;;;CL;;;;1008655702
way;;;;Escuela El Laurel;;;;school;Avenida Ramón Picarte;Región de Los Ríos;3295;Valdivia;CL;Valdivia;;;1012759175
way;;;;;;;;school;Los Pelúes;Región de Los Ríos;085;Valdivia;CL;Valdivia;;;1028124069
way;;;;Colegio Nuestra Señora del Carmen;;;;school;;;;;;;;;1063800600
way;;;;Colegio Austral;;;;school;Aníbal Pinto;Región de Los Ríos;1148;Valdivia;CL;Valdivia;;;1063942496
way;;;;Colegio Valle De Los Rios;;;;school;Camino a Paillao;;19B;;;Valdivia;;;1068286974
way;;;;Colegio Los Conquistadores;;;;school;;;;;;;;;1224923484
relation;;;;Instituto Educacional Collico - IEC;;;;school;Avenida Balmaceda;Región de Los Ríos;6020;Valdivia;CL;Valdivia;;;9735552
node;es:Universidad Austral de Chile;Q961982;https://www.uach.cl/;Universidad Austral de Chile;;Casa Matriz;;university;Independencia;Región de Los Ríos;641;Valdivia;CL;Valdivia;-73.2474278;-39.8153748;5289720978
